,SYMBOL,gainpercentage
0,NPST,26.16666666666667
1,SANDESH,21.95307064701791
2,CENTUM,18.53835249645614
3,JINDALPHOT,15.835972662110354
4,NAVA,15.04739336492891
5,SREIBNPNCD,14.550000000000002
6,SONAMCLOCK,14.349276974416009
7,SPLIL,12.910447761194039
8,PRECOT,12.459307487422322
9,SANGINITA,12.293144208037834
10,RAJTV,12.286002014098694
11,RSWM-RE,12.253521126760567
12,KITEX,11.67130919220055
13,MANUGRAPH,11.40939597315437
14,ASHAPURMIN,10.37446286065071
15,PONNIERODE,10.349999999999994
16,EXCEL,10.000000000000009
17,WEWIN,9.821428571428555
18,MUKANDLTD,9.688581314878896
19,RHFL,9.267639902676393
20,NAVKARCORP,9.122807017543865
21,GANGAFORGE,9.09090909090908
22,TEMBO,9.036697247706417
23,KCPSUGIND,8.947368421052634
24,HECPROJECT,8.819133034379657
