,SYMBOL,gainpercentage
0,PALASHSECU,21.60041841004185
1,SITINET,20.000000000000004
2,UCOBANK,18.571428571428577
3,VMARCIND,18.510638297872347
4,INDBANK,17.777777777777786
5,CENTRALBK,16.6421207658321
6,SETFNIF50,15.720288115246097
7,IOB,12.59124087591242
8,YESBANK,11.3953488372093
9,SAKUMA,11.356466876971602
10,HUDCO,10.431293881644926
11,BAHETI,10.42944785276074
12,VSCL,10.142857142857135
13,ARROWGREEN,9.979809633689076
14,SEAMECLTD,9.823232323232322
15,VSSL,9.68783638320775
16,DKEGL,9.545454545454547
17,GOLDSTAR,9.428571428571429
18,DHANBANK,9.36073059360731
19,MOTOGENFIN,9.200000000000003
20,MAHABANK,9.19732441471572
21,SWARAJ,9.010773751224294
22,ESSENTIA,8.974358974358978
23,WIPL,8.754208754208767
24,SECURKLOUD,8.740157480314956
