,index,SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,gainpercentage
0,1197,LOTUSEYE, EQ, 16-Nov-2022,70.1,69.0,81.0,67.65, 78.55,78.45,75.97,177125,134.56,2378, 93736, 52.92,13.695652173913048
1,1629,RAJSREESUG, EQ, 16-Nov-2022,34.85,35.1,41.2,35.1, 39.70,39.8,39.51,674026,266.32,5896, 330991, 49.11,13.390313390313377
2,815,HUDCO, EQ, 16-Nov-2022,41.6,42.35,48.8,42.3, 47.35,47.25,46.64,105560688,49232.2,153028, 19918525, 18.87,11.570247933884295
3,834,IBULHSGFIN, Z9, 16-Nov-2022,990.0,900.0,1004.0,900.0, 1004.00,1004.0,986.67,6,0.06,2, 6, 100.00,11.555555555555555
4,2279,ZENITHEXPO, BE, 16-Nov-2022,98.75,94.05,103.65,94.05, 103.65,103.65,101.49,3810,3.87,71, -, -,10.207336523126006
5,513,DYNPROPP, E1, 16-Nov-2022,158.6,134.95,158.8,134.95, 142.05,148.4,146.89,571,0.84,39, 219, 38.35,9.9666543164135
6,743,HCC, EQ, 16-Nov-2022,14.2,14.2,16.2,14.1, 15.60,15.55,15.56,76470861,11895.24,30898, 33173146, 43.38,9.507042253521139
7,660,GLOBAL, EQ, 16-Nov-2022,241.4,232.05,253.45,232.05, 253.45,253.45,247.09,78932,195.03,1106, 53986, 68.40,9.222150398620975
8,468,DHANILOANS, NX, 16-Nov-2022,1000.0,1001.0,1092.0,1001.0, 1092.00,1092.0,1086.21,210,2.28,4, 210, 100.00,9.090909090909092
9,185,ATULAUTO, EQ, 16-Nov-2022,267.7,269.7,302.8,268.6, 295.50,294.1,292.64,1271988,3722.4,26943, 375392, 29.51,9.047089358546547
10,1879,SIDDHIKA, SM, 16-Nov-2022,117.0,112.8,122.85,112.8, 122.85,122.85,117.83,4000,4.71,2, 2000, 50.00,8.909574468085104
11,339,CAREERP, EQ, 16-Nov-2022,129.6,129.15,148.4,128.0, 139.55,140.55,141.36,420739,594.74,8539, 155806, 37.03,8.82694541231127
12,1104,KIRLOSENG, EQ, 16-Nov-2022,294.1,296.1,326.9,292.25, 322.00,321.9,319.55,3322591,10617.2,50850, 1307102, 39.34,8.71327254305976
13,2119,TRANSWIND, SM, 16-Nov-2022,9.65,9.3,10.1,9.3, 10.10,10.1,9.7,8000,0.78,2, 8000, 100.00,8.602150537634397
14,323,BTML, SM, 16-Nov-2022,56.05,53.25,57.85,53.25, 57.85,57.8,56.65,228000,129.16,36, 210000, 92.11,8.54460093896713
15,2033,TANTIACONS, BZ, 16-Nov-2022,12.75,12.3,13.35,12.25, 13.35,13.35,12.87,13245,1.71,72, -, -,8.53658536585365
16,1892,SIMBHALS, EQ, 16-Nov-2022,20.2,20.05,21.9,20.05, 21.85,21.75,21.36,122577,26.18,524, 71958, 58.70,8.4788029925187
17,433,DBOL, EQ, 16-Nov-2022,168.9,169.8,190.9,165.0, 184.10,184.0,181.6,1043511,1895.02,22758, 469348, 44.98,8.362779740871606
18,1870,SHRENIK, EQ, 16-Nov-2022,1.8,1.85,2.05,1.8, 2.00,2.0,1.94,4362066,84.65,1368, 3145244, 72.10,8.108108108108103
19,1080,KCPSUGIND, EQ, 16-Nov-2022,22.3,22.5,25.15,22.3, 24.45,24.3,24.38,2197981,535.78,5901, 1065977, 48.50,8.000000000000004
20,120,ANDREWYU, EQ, 16-Nov-2022,21.1,21.35,23.4,21.15, 23.20,23.05,22.53,1471246,331.45,4666, 899579, 61.14,7.96252927400468
21,1132,KOVAI, EQ, 16-Nov-2022,1638.55,1620.05,1845.55,1617.05, 1757.00,1745.45,1740.76,60895,1060.04,5234, 24801, 40.73,7.740501836363081
22,806,HONDAPOWER, EQ, 16-Nov-2022,2028.65,2038.8,2221.95,2038.8, 2198.00,2195.35,2164.56,104451,2260.91,12746, 41590, 39.82,7.678536393957228
23,983,ISFT, EQ, 16-Nov-2022,107.45,109.0,120.0,106.2, 117.45,117.35,115.07,74756,86.02,1848, 25615, 34.26,7.6605504587155915
24,602,FINPIPE, EQ, 16-Nov-2022,149.65,150.4,163.0,149.4, 162.55,161.85,159.63,4322347,6899.7,41043, 1492899, 34.54,7.613031914893609
