,SYMBOL,gainpercentage
0,INDBANK,18.181818181818173
1,BSL,18.01724137931034
2,BRNL,17.664233576642328
3,ICICINIFTY,16.259409380428497
4,NAGREEKEXP,15.942028985507244
5,ROSSELLIND,15.796875000000005
6,PRECISION,12.570621468926563
7,COFFEEDAY,12.124463519313302
8,OLECTRA,11.6681165724228
9,DUCON,11.607142857142865
10,DKEGL,10.862068965517237
11,JETAIRWAYS,10.43338683788122
12,UCL,10.283960092095148
13,SUPERSPIN,10.059171597633155
14,DHANILOANS,9.444444444444445
15,SUULD,9.354838709677415
16,GSPL,8.974895397489535
17,DISHTV,8.864265927977828
18,THEMISMED,8.651315789473681
19,FSC,8.414872798434436
20,AMIABLE,8.28571428571429
21,MARATHON,8.272727272727268
22,PONNIERODE,8.16977017278979
23,KAUSHALYA,8.139534883720943
24,VEEKAYEM,7.851851851851848
