,index,SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,gainpercentage
0,359,CELEBRITY, EQ, 26-Dec-2022,15.0,14.6,18.0,14.15,18.0,18.0,17.07,264692,45.17,1475, 138589, 52.36,23.28767123287672
1,530,EASEMYTRIP, EQ, 26-Dec-2022,45.55,45.0,54.65,44.95,54.6,54.65,52.48,44836241,23527.99,88039, 10498609, 23.42,21.44444444444444
2,2313,WEIZMANIND, EQ, 26-Dec-2022,81.85,80.0,98.2,78.95,97.2,96.6,93.54,138335,129.39,2429, 30042, 21.72,20.749999999999993
3,270,BEDMUTHA, EQ, 26-Dec-2022,49.1,49.0,58.9,47.35,58.9,58.9,55.29,57389,31.73,765, 31185, 54.34,20.204081632653057
4,821,HITECHGEAR, EQ, 26-Dec-2022,219.8,220.25,263.75,220.15,263.75,263.75,260.54,37313,97.22,571, 27200, 72.90,19.750283768444948
5,471,DEVIT, EQ, 26-Dec-2022,93.7,93.9,112.4,93.5,112.4,112.4,107.01,62165,66.52,1238, 24766, 39.84,19.701810436634716
6,599,FCL, EQ, 26-Dec-2022,219.15,210.0,259.9,209.15,251.55,250.55,243.61,2343682,5709.43,41822, 472475, 20.16,19.309523809523814
7,714,GPTINFRA, EQ, 26-Dec-2022,44.4,44.9,53.25,44.55,53.25,53.25,51.83,147616,76.51,1282, 76056, 51.52,18.596881959910917
8,1031,J&KBANK, EQ, 26-Dec-2022,46.65,47.2,55.95,46.25,55.95,55.85,52.6,35606775,18730.37,38292, 10248738, 28.78,18.326271186440675
9,1334,MENONBE, EQ, 26-Dec-2022,83.4,83.4,100.0,81.75,99.0,98.45,95.49,346085,330.49,3859, 157508, 45.51,18.04556354916067
10,2218,UNIONBANK, EQ, 26-Dec-2022,67.55,68.5,81.05,68.05,81.05,80.25,74.96,75502824,56595.67,126739, 11031207, 14.61,17.153284671532848
11,324,BRNL, EQ, 26-Dec-2022,31.9,32.05,38.25,32.05,37.1,37.4,36.23,311700,112.94,2328, 132376, 42.47,16.692667706708274
12,1569,PEARLPOLY, EQ, 26-Dec-2022,20.55,20.2,24.65,20.2,23.65,23.55,24.01,425058,102.04,1894, 139641, 32.85,16.58415841584159
13,986,IOB, EQ, 26-Dec-2022,26.2,26.8,31.4,24.8,31.4,31.2,28.89,205643098,59404.71,127587, 17356601, 8.44,16.417910447761187
14,2002,SPIC, EQ, 26-Dec-2022,61.65,62.45,73.95,61.25,73.1,72.6,67.98,5545270,3769.85,17551, 1504019, 27.12,16.253002401921524
15,1354,MINDTECK, EQ, 26-Dec-2022,115.2,113.85,138.2,112.0,130.0,132.0,125.64,60703,76.27,1494, 31372, 51.68,15.942028985507253
16,2232,USHAMART, EQ, 26-Dec-2022,143.95,145.75,171.8,144.25,171.5,168.8,161.84,10476842,16956.0,79389, 3087552, 29.47,15.814751286449408
17,2338,YAARI, EQ, 26-Dec-2022,16.7,17.3,20.0,16.5,20.0,20.0,18.79,1921613,361.11,4825, 762753, 39.69,15.606936416184967
18,2256,VEEKAYEM, SM, 26-Dec-2022,36.3,31.15,35.95,31.15,35.95,35.95,33.55,8000,2.68,2, 4000, 50.00,15.409309791332277
19,817,HIRECT, EQ, 26-Dec-2022,185.1,185.8,218.7,184.0,211.0,214.3,206.92,25296,52.34,1683, 11254, 44.49,15.33907427341227
20,1973,SKP, SM, 26-Dec-2022,168.2,164.0,189.4,160.0,189.3,188.95,174.08,62000,107.93,57, 39000, 62.90,15.213414634146336
21,731,GRSE, EQ, 26-Dec-2022,399.2,395.0,462.05,395.0,459.45,454.65,434.52,2094812,9102.43,42271, 272739, 13.02,15.101265822784804
22,30,A2ZINFRA, EQ, 26-Dec-2022,9.4,8.8,10.15,8.8,10.1,10.1,9.88,472378,46.66,938, 358351, 75.86,14.77272727272726
23,651,GEEKAYWIRE, EQ, 26-Dec-2022,67.2,65.9,79.7,65.9,77.0,75.55,73.24,53827,39.42,726, 31622, 58.75,14.643399089529577
24,1715,RESPONIND, EQ, 26-Dec-2022,103.0,103.0,123.6,102.1,120.0,118.0,118.18,443662,524.32,6164, 113878, 25.67,14.563106796116504
