,SYMBOL,SERIES,gainpercentage
0,FACT, EQ,123.91469916222388
1,UCOBANK, EQ,123.79310344827587
2,CLOUD, SM,100.11687704534829
3,PULZ, SM,94.63894967177242
4,BTML, SM,91.54929577464789
5,OMFURN, SM,86.75324675324677
6,PSB, EQ,79.45205479452055
7,CONTI, SM,78.30687830687833
8,SKIPPER, EQ,69.63064295485637
9,IOB, EQ,67.75818639798487
10,ARVEE, EQ,63.670817541959956
11,MADRASFERT, EQ,63.30076004343107
12,SALASAR, EQ,62.9194630872483
13,BAJAJHIND, EQ,62.1495327102804
14,RAJSREESUG, EQ,57.97720797720798
15,FELIX, SM,56.4299424184261
16,PONNIERODE, EQ,54.66012613875263
17,NPST, SM,53.86178861788618
18,SIDDHIKA, SM,48.93617021276596
19,DHANBANK, EQ,44.76534296028882
20,THEMISMED, EQ,44.71231653552094
21,INDSWFTLTD, EQ,43.915343915343925
22,BSHSL, BE,43.869209809264284
23,PALASHSECU, EQ,42.12121212121211
24,COOLCAPS, SM,42.10810810810809
